# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
1,2,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
1,8,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
1,9,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
1,57,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
2,1,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
2,3,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
2,10,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
2,58,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
3,2,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
3,4,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
3,11,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
3,59,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
4,3,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
4,5,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
4,12,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
4,60,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
5,4,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
5,6,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
5,13,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
5,61,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
6,5,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
6,7,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
6,14,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
6,62,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
7,6,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
7,8,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
7,15,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
7,63,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
8,1,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
8,7,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
8,16,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
8,64,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
9,1,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
9,10,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
9,16,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
9,17,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
10,2,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
10,9,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
10,11,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
10,18,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
11,3,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
11,10,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
11,12,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
11,19,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
12,4,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
12,11,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
12,13,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
12,20,4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
13,5,-4.0000000000,0.0000000001,0.0000000001,4.3666449030e+09
13,12,0.0000000001,-4.0000000000,0.0000000001,4.3666449030e+09
13,14,0.0000000001,4.0000000000,0.0000000001,4.3666449030e+09
